Šifra kupca;Ime kupca;Št.raèuna;Datum;Predraèun;Št. predraèuna;Predraèun velja do;V tranzitu;Poslati na ime;Poslati na naslov-1vrst.;Poslati na naslov-2vrst.;V mesto;V državo;Na poštno štev.;Poslati v državo;Naroèilo kupca;Dostava;Datum pošilj.;Zapade;Znesek popusta;Datum popusta;Prikazani pogoji;Št.dobavnice;Šifra prodajalca;Konto terjatev;Znesek terjatev;OE/Skladišèe;Opomba raèuna;Opombe natisne za artiklom;Promet - zaèetno stanje;Datum plaèila;Število elementov;Dodeli naroè. prodaje;Št. naroèila;Distribucija naroèila;Kolièina;Artikel;Opis;Konto GK;Cena;Vrsta davka;Znesek;Konto zaloge;Konto stroškov prodaje;Znesek stroš. prodaje;Posel;Davène stopnje;Obdobje prometa;Štev. prometa;Šifra davka;Tip vrstice;Rabat;Datum knjiženja;Knjiženje - oseba;Datum prejema raèuna;Tip oprostitve;Vrsta raèuna;Št.obrazca za vraèilo davka;Lokacija;Valuta;Teèaj;Banka;Datum teèaja;Tiskanje v valuti?;Cena enote - tekst;Vneseni znesek;Poslovni raèun;Model in sklic za plaèilo;Datum obraèunanega DDV;Št. izdaje 1;Št. izdaje 2;Št. izdaje 3;Št. izdaje 4;Št. izdaje 5;Št. izdaje 6;Št. izdaje 7;Št. izdaje 8;Št. izdaje 9;Št. izdaje 10;Št. izdaje 11;Št. izdaje 12;Št. izdaje 13;Št. izdaje 14;Št. izdaje 15;Št. izdaje 16;Št. izdaje 17;Št. izdaje 18;Št. izdaje 19;Št. izdaje 20;Št. izdaje 21;Št. izdaje 22;Št. izdaje 23;Št. izdaje 24;Št. izdaje 25;Št. izdaje 26;Št. izdaje 27;Št. izdaje 28;Št. izdaje 29;Št. izdaje 30;Št. izdaje 31;Št. izdaje 32;Št. izdaje 33;Št. izdaje 34;Št. izdaje 35;Št. izdaje 36;Št. izdaje 37;Št. izdaje 38;Št. izdaje 39;Št. izdaje 40;Št. izdaje 41;Št. izdaje 42;Št. izdaje 43;Št. izdaje 44;Št. izdaje 45;Št. izdaje 46;Št. izdaje 47;Št. izdaje 48;Št. izdaje 49;Št. izdaje 50;Predplaèilo
TISKARNA JANUŠ D.O.O;TISKARNA JANUŠ D.O.O.;17/0256;03.04.17;Ne;;;Ne;TISKARNA JANUŠ D.O.O.;STERNADOVA 12;;;;1210;;;Osebni prevzem;03.04.17;02.06.17;0,00000;03.04.17;Zapade v 60 dneh;;;120000;2122,63000;SPLOŠNO;;Ne;Ne;;19;Ne;;0;0,00000;;Davek 22%;260000;0,00000;0;-382,77000;;;0,00000;;D22;32;1;;0;0,00000;04.04.17;;;0;0;;SPLOŠNO;EUR;1,00000;1;03.04.17;Ne;;0,00000;03106-1000813505;00 256;03.04.17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ne
TISKARNA JANUŠ D.O.O;TISKARNA JANUŠ D.O.O.;17/0256;03.04.17;Ne;;;Ne;TISKARNA JANUŠ D.O.O.;STERNADOVA 12;;;;1210;;;Osebni prevzem;03.04.17;02.06.17;0,00000;03.04.17;Zapade v 60 dneh;;;120000;2122,63000;SPLOŠNO;;Ne;Ne;;19;Ne;;0;230,00000;13;Plastificiranje MAT A2, 1/0, VLADEKS VAYAGE OVITEK;760000;0,07400;0;-17,02000;500000;500000;0,00000;;;32;1;D22;0;0,00000;04.04.17;;;0;0;;SPLOŠNO;EUR;1,00000;1;03.04.17;Ne;0,0740000000999999910000000;0,00000;03106-1000813505;00 256;03.04.17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ne
TISKARNA JANUŠ D.O.O;TISKARNA JANUŠ D.O.O.;17/0256;03.04.17;Ne;;;Ne;TISKARNA JANUŠ D.O.O.;STERNADOVA 12;;;;1210;;;Osebni prevzem;03.04.17;02.06.17;0,00000;03.04.17;Zapade v 60 dneh;;;120000;2122,63000;SPLOŠNO;;Ne;Ne;;19;Ne;;0;130,00000;6;Plastifikacija SIJAJ A2, 1/0, DN.301, MAPA MR STROJI;760000;0,05200;0;-6,76000;500000;500000;0,00000;;;32;1;D22;0;0,00000;04.04.17;;;0;0;;SPLOŠNO;EUR;1,00000;1;03.04.17;Ne;0,0520000000999999990000000;0,00000;03106-1000813505;00 256;03.04.17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ne
TISKARNA JANUŠ D.O.O;TISKARNA JANUŠ D.O.O.;17/0256;03.04.17;Ne;;;Ne;TISKARNA JANUŠ D.O.O.;STERNADOVA 12;;;;1210;;;Osebni prevzem;03.04.17;02.06.17;0,00000;03.04.17;Zapade v 60 dneh;;;120000;2122,63000;SPLOŠNO;;Ne;Ne;;19;Ne;;0;280,00000;15;Plastifikacija 70/33, 1/0 MAT, DN.396, SVETA AVHARISTIJA;760000;0,06400;0;-17,92000;500000;500000;0,00000;;;32;1;D22;0;0,00000;04.04.17;;;0;0;;SPLOŠNO;EUR;1,00000;1;03.04.17;Ne;0,0640000000999999960000000;0,00000;03106-1000813505;00 256;03.04.17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ne
TISKARNA JANUŠ D.O.O;TISKARNA JANUŠ D.O.O.;17/0256;03.04.17;Ne;;;Ne;TISKARNA JANUŠ D.O.O.;STERNADOVA 12;;;;1210;;;Osebni prevzem;03.04.17;02.06.17;0,00000;03.04.17;Zapade v 60 dneh;;;120000;2122,63000;SPLOŠNO;;Ne;Ne;;19;Ne;;0;1800,00000;3;Plastifikacija SIJAJ B3, 1/0, DN.460, MASS CENOVKA;760000;0,03690;0;-66,42000;500000;500000;0,00000;;;32;1;D22;0;0,00000;04.04.17;;;0;0;;SPLOŠNO;EUR;1,00000;1;03.04.17;Ne;0,0369000001000000040000000;0,00000;03106-1000813505;00 256;03.04.17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ne
TISKARNA JANUŠ D.O.O;TISKARNA JANUŠ D.O.O.;17/0256;03.04.17;Ne;;;Ne;TISKARNA JANUŠ D.O.O.;STERNADOVA 12;;;;1210;;;Osebni prevzem;03.04.17;02.06.17;0,00000;03.04.17;Zapade v 60 dneh;;;120000;2122,63000;SPLOŠNO;;Ne;Ne;;19;Ne;;0;2200,00000;20;ZLATOTISK DN.389, DAVID;760000;0,08182;0;-180,00000;500000;500000;0,00000;;;32;1;D22;0;0,00000;04.04.17;;;0;0;;SPLOŠNO;EUR;1,00000;1;03.04.17;Ne;0,0818181819181818120000000;0,00000;03106-1000813505;00 256;03.04.17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ne
TISKARNA JANUŠ D.O.O;TISKARNA JANUŠ D.O.O.;17/0256;03.04.17;Ne;;;Ne;TISKARNA JANUŠ D.O.O.;STERNADOVA 12;;;;1210;;;Osebni prevzem;03.04.17;02.06.17;0,00000;03.04.17;Zapade v 60 dneh;;;120000;2122,63000;SPLOŠNO;;Ne;Ne;;19;Ne;;0;550,00000;2;Plastifikacija SIJAJ B2, 1/1, DN.461, MASS CENOVKA;760000;0,10200;0;-56,10000;500000;500000;0,00000;;;32;1;D22;0;0,00000;04.04.17;;;0;0;;SPLOŠNO;EUR;1,00000;1;03.04.17;Ne;0,1020000000999999900000000;0,00000;03106-1000813505;00 256;03.04.17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ne
TISKARNA JANUŠ D.O.O;TISKARNA JANUŠ D.O.O.;17/0256;03.04.17;Ne;;;Ne;TISKARNA JANUŠ D.O.O.;STERNADOVA 12;;;;1210;;;Osebni prevzem;03.04.17;02.06.17;0,00000;03.04.17;Zapade v 60 dneh;;;120000;2122,63000;SPLOŠNO;;Ne;Ne;;19;Ne;;0;2150,00000;2;Plastifikacija SIJAJ B2, 1/1, DN.459, MASS CENOVKA;760000;0,10200;0;-219,30000;500000;500000;0,00000;;;32;1;D22;0;0,00000;04.04.17;;;0;0;;SPLOŠNO;EUR;1,00000;1;03.04.17;Ne;0,1020000000999999900000000;0,00000;03106-1000813505;00 256;03.04.17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ne
TISKARNA JANUŠ D.O.O;TISKARNA JANUŠ D.O.O.;17/0256;03.04.17;Ne;;;Ne;TISKARNA JANUŠ D.O.O.;STERNADOVA 12;;;;1210;;;Osebni prevzem;03.04.17;02.06.17;0,00000;03.04.17;Zapade v 60 dneh;;;120000;2122,63000;SPLOŠNO;;Ne;Ne;;19;Ne;;0;4200,00000;12;Plastificiranje MAT A1, 1/0, DN.444,445, OMEGA AIR;760000;0,13000;0;-546,00000;500000;500000;0,00000;;;32;1;D22;0;0,00000;04.04.17;;;0;0;;SPLOŠNO;EUR;1,00000;1;03.04.17;Ne;0,1300000001000000100000000;0,00000;03106-1000813505;00 256;03.04.17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ne
TISKARNA JANUŠ D.O.O;TISKARNA JANUŠ D.O.O.;17/0256;03.04.17;Ne;;;Ne;TISKARNA JANUŠ D.O.O.;STERNADOVA 12;;;;1210;;;Osebni prevzem;03.04.17;02.06.17;0,00000;03.04.17;Zapade v 60 dneh;;;120000;2122,63000;SPLOŠNO;;Ne;Ne;;19;Ne;;0;530,00000;13;Plastificiranje MAT A2, 1/0, DN.401, MAPA GAPRO;760000;0,06770;0;-35,88000;500000;500000;0,00000;;;32;1;D22;0;0,00000;04.04.17;;;0;0;;SPLOŠNO;EUR;1,00000;1;03.04.17;Ne;0,0677000000999999910000000;0,00000;03106-1000813505;00 256;03.04.17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ne
